id;mobile_no;email;code;sent_on;valid_until;is_used
1;Danish Legacy East;Raegan.OHara@yahoo.com;payment;2023-07-05T22:27:25;2023-07-06T03:11:21;true
2;Cotton Administrator solidly;Quentin.Tremblay59@gmail.com;Carolina koala;2023-07-05T18:11:53;2023-07-05T12:36:42;false
3;Adventure;Dagmar89@gmail.com;green Borders Implementation;2023-07-05T12:46:08;2023-07-05T05:33:52;true
4;Future monitoring;Manley_Gottlieb@gmail.com;whoever Research gold;2023-07-06T01:24:12;2023-07-05T12:12:27;true
5;Savings DNS UDP;Etha.Bins@hotmail.com;Communications Legacy Porsche;2023-07-05T07:35:55;2023-07-06T00:50:22;false
6;Accounts why;Emelie16@gmail.com;Egyptian;2023-07-05T08:35:48;2023-07-05T11:50:35;true
7;discrete;Teagan_Grimes@hotmail.com;Technician Hybrid SDD;2023-07-06T02:07:29;2023-07-05T05:10:33;false
8;Granite Volkswagen;Bell54@yahoo.com;trounce;2023-07-05T04:05:05;2023-07-05T16:07:14;false
9;boohoo Bedfordshire Tricycle;London_Hessel@yahoo.com;invoice outstanding;2023-07-05T15:37:12;2023-07-05T16:37:38;false
10;granular;Electa_Wisozk@hotmail.com;Cheese;2023-07-05T11:25:05;2023-07-05T16:58:43;true
