id;name;name_ar;name_en;mobile_no;email;image_url;image;image_content_type;driver_type;driver_payment_type;vehicle_type;driver_status;commission_amount;salary_amount;latitude;longitude;plus_code;last_location_date_time;is_available;notes
1;Security refuse immaterial;invoice;Blues;communities profile;Serenity.Braun89@gmail.com;East Copernicium experiences;../fake-data/blob/hipster.png;image/png;INDEPENDENT;PERCENT;BICYCLE;ONLINE;42159;84319;65573;24781;SSD female markets;2023-07-05T16:04:41;false;Northwest
2;aboard;markets Porsche wireless;Corporate terraform;hm Supervisor Coupe;Ashly.Wiegand@yahoo.com;PCI once;../fake-data/blob/hipster.png;image/png;COMPANY;FIXED;BICYCLE;ON_ROUTE_TO_PICKUP;21124;19782;73599;86059;North;2023-07-05T09:27:44;false;Licensed
3;Metal;dolore revolutionary;Focused Programmable;Hybrid East Kreiger;Alaina92@hotmail.com;male process;../fake-data/blob/hipster.png;image/png;INDEPENDENT;PERCENT;MOTORBIKE;AT_RESTAURANT;61456;46740;54164;41740;deploy;2023-07-05T04:14:15;true;Intersex Peso
4;Salad PNG Soft;Applications;optimize female;Supervisor Borders;Russel_Bayer@gmail.com;Principal Non North;../fake-data/blob/hipster.png;image/png;INDEPENDENT;FIXED;CAR;AT_CUSTOMER;91197;3746;28984;54457;Beauty Northeast Lead;2023-07-05T05:23:48;false;Schaden Interface East
5;Bedfordshire monitor;woman;Nebraska copying systemic;despite generate white;Rae8@gmail.com;Cis lavender Rubber;../fake-data/blob/hipster.png;image/png;INDEPENDENT;PERCENT;CAR;ONLINE;17820;39723;91388;64785;red;2023-07-05T22:25:50;false;duh incidentally
6;expedita;Chief Coupe;Tasty Southeast;North whiteboard Ferrari;Winston8@gmail.com;Mali perspiciatis Neodymium;../fake-data/blob/hipster.png;image/png;INDEPENDENT;FIXED;BICYCLE;OFFLINE;5672;79269;8453;23310;Northeast Shoes;2023-07-05T14:29:10;true;Bedfordshire
7;green Beauty;Luxurious Curium;HDD;Games trivial deliver;Wilson_Howe7@yahoo.com;Metal Developer yowza;../fake-data/blob/hipster.png;image/png;INDEPENDENT;FIXED;BICYCLE;ORDER_DELIVERED;57445;91650;46172;49069;Concrete systems;2023-07-05T14:31:33;false;mobile
8;considering;Investment mindless Global;Principal local;question;Gloria70@yahoo.com;zero;../fake-data/blob/hipster.png;image/png;COMPANY;FIXED;BICYCLE;OFFLINE;38675;69360;90293;86652;The;2023-07-06T00:10:31;false;copy Islands bypassing
9;green minus Wagon;however leverage;female;Rancho regional;Christa_Powlowski6@hotmail.com;District plum;../fake-data/blob/hipster.png;image/png;COMPANY;FIXED;CAR;AT_RESTAURANT;61322;30170;73390;91811;connect anyone;2023-07-05T03:38:24;false;Buckinghamshire boo
10;Male redefine spoil;shine;mmm;Mandatory Response Canadian;Willis_Kautzer74@hotmail.com;ab kendo;../fake-data/blob/hipster.png;image/png;COMPANY;PERCENT;BICYCLE;AT_CUSTOMER;33858;33248;33506;18211;matrix;2023-07-05T11:14:58;false;recklessly
